City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Carnarvon,AU,-24.8667,113.6333,56.17,67,65,15.28,broken clouds
79,Hobyo,SO,5.3505,48.5268,76.55,85,100,26.69,overcast clouds
80,Valparaiso,CL,-33.0393,-71.6273,53.24,76,0,2.3,clear sky
81,Talnakh,RU,69.4865,88.3972,49.21,85,72,4.99,broken clouds
82,Gorontalo,ID,0.5412,123.0595,76.26,91,41,1.9,scattered clouds
83,Kodiak,US,57.79,-152.4072,53.11,94,100,6.91,light rain
84,Ushuaia,AR,-54.8,-68.3,37.06,75,40,3.44,scattered clouds
85,Bluff,NZ,-46.6,168.3333,38.8,70,38,4.61,scattered clouds
86,Avarua,CK,-21.2078,-159.775,77.05,65,40,11.5,scattered clouds
87,Lorengau,PG,-2.0226,147.2712,83.19,73,68,7.02,broken clouds
88,Hermanus,ZA,-34.4187,19.2345,56.26,71,79,12.59,broken clouds
89,Bollnas,SE,61.3482,16.3946,59.58,73,98,6.38,overcast clouds
90,Topolobampo,MX,25.6,-109.05,82.31,74,100,5.75,overcast clouds
91,Tarare,FR,45.8976,4.4327,74.73,50,15,2.95,few clouds
92,Camana,PE,-16.6228,-72.7111,61.86,80,53,4.56,broken clouds
93,Tazovskiy,RU,67.4667,78.7,46.38,84,29,11.45,scattered clouds
94,Namatanai,PG,-3.6667,152.4333,82.18,74,100,3.44,light rain
95,Broome,US,42.2506,-75.833,77.67,65,20,10.36,few clouds
96,Georgetown,MY,5.4112,100.3354,80.89,87,20,2.3,few clouds
97,Luganville,VU,-15.5333,167.1667,80.71,78,24,6.35,few clouds
98,Markova,UA,48.6758,24.4138,56.3,99,100,1.86,overcast clouds
99,Chuy,UY,-33.6971,-53.4616,47.57,84,4,7.63,clear sky
100,Port Augusta,AU,-32.5,137.7667,54.68,59,100,19.33,light rain
101,Kapaa,US,22.0752,-159.319,84.18,72,40,16.11,scattered clouds
102,Tecoanapa,MX,16.5167,-98.75,85.19,65,97,9.73,overcast clouds
103,Copiapo,CL,-27.3667,-70.3333,55.09,18,0,0.81,clear sky
104,Kasane,BW,-17.8167,25.15,60.37,32,0,3.89,clear sky
105,Cape Town,ZA,-33.9258,18.4232,57.11,89,77,7.0,broken clouds
106,Barrow,US,71.2906,-156.7887,41.02,87,100,12.66,overcast clouds
107,Hasaki,JP,35.7333,140.8333,86.4,84,96,21.92,overcast clouds
108,Hilo,US,19.7297,-155.09,90.28,79,75,13.8,broken clouds
109,Gubkinskiy,RU,64.434,76.5026,56.89,68,11,6.96,few clouds
110,New Norfolk,AU,-42.7826,147.0587,41.92,82,1,2.62,clear sky
111,Czechowice-Dziedzice,PL,49.9134,19.0048,61.86,80,84,4.5,broken clouds
112,Rajnagar,IN,24.8833,79.9167,80.94,75,32,8.61,scattered clouds
113,Atuona,PF,-9.8,-139.0333,77.27,70,5,19.39,clear sky
114,Port Elizabeth,ZA,-33.918,25.5701,62.31,72,81,5.99,broken clouds
115,Cauquenes,CL,-35.9671,-72.3225,48.33,70,89,1.88,overcast clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,51.1,83,0,5.75,clear sky
117,Kutum,SD,14.2,24.6667,74.35,65,100,5.01,overcast clouds
118,Kalabo,ZM,-14.97,22.6814,58.06,25,0,5.26,clear sky
119,Brae,GB,60.3964,-1.353,57.58,89,97,23.82,overcast clouds
120,Diffa,NE,13.3154,12.6113,84.2,54,19,5.68,few clouds
121,Aksarka,RU,66.5606,67.7975,48.09,74,40,4.65,scattered clouds
122,Chokurdakh,RU,70.6333,147.9167,59.52,62,0,8.32,clear sky
123,Tanggu,CN,39.0211,117.6469,67.96,87,0,5.26,clear sky
124,Kavaratti,IN,10.5669,72.642,80.53,82,86,20.09,overcast clouds
125,Broken Hill,AU,-31.95,141.4333,51.21,48,100,14.88,overcast clouds
126,Homer,US,59.6425,-151.5483,54.77,88,100,4.0,light rain
